package_name,latest_version
mypy-boto3-docdb-elastic,1.42.3
pyaml,26.2.1
types-aiobotocore-drs,3.3.0
azure-mgmt-media,10.2.1
python-gerrit-api,3.1.0
mypy-boto3-mgn,1.42.68
pyats-kleenex,26.2
types-aiobotocore-dms,3.3.0
django-method-override,1.0.4
gherkin-official,39.0.0
types-aiobotocore-s3outposts,3.3.0
nameko,2.14.1
types-aiobotocore-codeguruprofiler,3.3.0
azure-mgmt-datamigration,10.1.0
onyx-devtools,0.7.1
django-cid,3.0
pyats-aetest,26.2
types-aiobotocore-sagemaker-a2i-runtime,3.3.0
faster-eth-utils,5.3.25
azure-mgmt-maps,2.1.0
types-aiobotocore-iotsitewise,3.3.0
azure-mgmt-iothubprovisioningservices,1.1.0
pytest-black,0.6.0
azure-mgmt-batchai,7.0.0
dracopy,2.0.0
segtok,1.5.11
cfgrib,0.9.15.1
rev-ai,2.21.0
types-aiobotocore-route53-recovery-control-config,3.3.0
mypy-boto3-codestar-connections,1.42.3
simplification,0.7.14
azure-mgmt-iotcentral,9.0.0
apache-airflow-providers-microsoft-fabric,0.0.9
sageattention,1.0.6
github-action-utils,1.1.0
mypy-boto3-dax,1.42.3
mypy-boto3-sagemaker-metrics,1.42.3
monkeytype,23.3.0
ecs-deploy,1.15.2
mypy-boto3-proton,1.42.3
magic-wormhole,0.23.0
antlr4-tools,0.2.2
edalize,0.6.5
mailer,0.8.1
python-tools-scripts,0.20.5
asana,5.2.3
hanziconv,0.3.2
mypy-boto3-route53-recovery-readiness,1.42.3
mypy-boto3-gamelift,1.42.61
mkdocs-autorefs,1.4.4
mypy-boto3-iottwinmaker,1.42.3
missingno,0.5.2
djangorestframework-queryfields,1.1.0
stubs,1.0.0
fatfs-ng,0.1.15
types-aiobotocore-kafkaconnect,3.3.0
optimum-intel,1.27.0
ansible-lint,26.3.0
types-aiobotocore-forecastquery,3.3.0
pygelf,0.4.3
mypy-boto3-workspaces-web,1.42.51
spatial-access,1.0.2
google-cloud-bigquery-datapolicies,0.8.0
phantom-types,3.0.2
diffusers,0.37.0
pytest-jira-xray,0.9.3
shopifyapi,12.7.0
exifread,3.5.1
matrice,1.1.3
types-aiobotocore-health,3.3.0
hexbytes,1.3.1
artifactory,0.1.17
types-aiobotocore-codepipeline,3.3.0
amazon-transcribe,0.6.4
mypy-boto3-mediapackagev2,1.42.12
conda-lock,4.0.0
jsonschema2md,1.7.0
rules,3.5
os-sys,2.1.4
types-aiobotocore-lex-runtime,3.3.0
azure-cli-core,2.84.0
types-aiobotocore-memorydb,3.3.0
scrapegraph-py,1.46.0
openinference-instrumentation-vertexai,0.1.12
django-debug-toolbar,6.2.0
taskcluster-taskgraph,20.0.0
random-uk-bank-account,0.0.5
mypy-boto3-kinesisvideo,1.42.3
pytest-fastapi-deps,0.2.3
mcp-server-fetch,2025.4.7
aws-cdk-aws-codebuild,1.204.0
ngram,4.0.3
cachey,0.2.1
mypy-boto3-license-manager-linux-subscriptions,1.42.3
dictknife,0.14.2
apipkg,3.0.2
ocifs,1.3.4
airflow-mcd,0.3.11
types-aiobotocore-comprehendmedical,3.3.0
lark-oapi,1.5.3
flask-swagger,0.2.14
blkinfo,0.2.0
backports-strenum,1.3.1
spyne,2.14.0
types-aiobotocore-appmesh,3.3.0
doroutes,0.4.0
mypy-boto3-kendra-ranking,1.42.3
shiny,1.6.0
python-etcd,0.4.5
mypy-boto3-savingsplans,1.42.62
gpxpy,1.6.2
intel-openmp,2025.3.2
napalm,5.1.0
mypy-boto3-panorama,1.42.3
editorconfig,0.17.1
google-cloud-managedkafka,0.3.0
pdb-attach,3.0.1
types-aiobotocore-discovery,3.3.0
torchft-nightly,2026.3.23
vonage-messages,1.6.2
types-aiobotocore-mq,3.3.0
python-lsp-black,2.0.0
mypy-boto3-neptunedata,1.42.45
openai-messages-token-helper,0.1.13
namedlist,1.8
pyvisa-py,0.8.1
types-aiobotocore-apigatewayv2,3.3.0
azure-mgmt-scheduler,7.0.0
opentelemetry-instrumentation-botocore,0.61b0
ip3country,0.4.0
azure-messaging-webpubsubservice,1.3.0
oci,2.168.2
mypy-boto3-sagemaker-geospatial,1.42.3
telegraph,2.2.0
pathtools,0.1.2
fprettify,0.3.7
toolbox-core,0.6.0
types-aiobotocore-acm-pca,3.3.0
unicodecsv,0.14.1
dataset,1.6.2
types-aiobotocore-lex-models,3.3.0
pyats-aereport,26.2
mixpanel-py-async,0.3.0
mypy-boto3-evidently,1.42.35
alibabacloud-adb20211201,3.7.1
pyxlsb,1.0.10
serpapi,1.0.2
pyats-topology,26.2
slack-bolt,1.27.0
prosemirror,0.6.1
types-aiobotocore-medialive,3.3.0
parsimonious,0.11.0
awslabs-aws-api-mcp-server,1.3.21
robotframework-sshlibrary,3.8.0
pyddq,5.0.0
olefileio-pl,0.42.1
types-aiobotocore-fms,3.3.0
types-babel,2.11.0.15
clean-fid,0.1.35
urduhack,1.1.1
iso639-lang,2.6.3
types-aiobotocore-codestar-notifications,3.3.0
kaleido,1.2.0
ishex,1.1.0
appdynamics-proxysupport-linux-x64,11.82.22
vonage-numbers,1.0.5
ansiwrap,0.8.4
zensical,0.0.28
quantconnect-stubs,17577
types-aiobotocore-grafana,3.3.0
pygal,3.1.0
influxdb-client,1.50.0
rockset,2.1.2
mypy-boto3-migration-hub-refactor-spaces,1.42.3
xonsh,0.22.8
mjml,0.12.0
svix-ksuid,0.7.0
slicerator,1.1.0
edx-bulk-grades,1.2.0
types-aiobotocore-forecast,3.3.0
shamir-mnemonic,0.3.0
mypy-boto3-appstream,1.42.54
django-cte,3.0.0
pulumi-datadog,4.68.0
types-aiobotocore-ram,3.3.0
secscanner2junit,1.1.0
decord2,3.0.0
types-aiobotocore-apprunner,3.3.0
azure-mgmt-nspkg,3.0.2
mypy-boto3-servicediscovery,1.42.3
ansible-dev-environment,26.2.0
types-aiobotocore-cognito-sync,3.3.0
publicsuffix2,2.20191221
nvidia-cuda-nvrtc,13.2.51
pyats-datastructures,26.2
mypy-boto3-pinpoint-sms-voice,1.42.3
target-jsonl,0.1.4
matrix-synapse,1.149.1
pyhcl,0.4.5
types-aiobotocore-proton,3.3.0
datadiff,2.2.0
awslabs-redshift-mcp-server,0.0.19
pyactiveresource,2.2.2
django-more-admin-filters,1.15
django-types,0.23.0
mypy-boto3-migrationhuborchestrator,1.42.3
asynckivy,0.9.3
mypy-boto3-iotevents,1.42.3
functions-framework,3.10.1
types-aiobotocore-pi,3.3.0
vermin,1.8.0
types-boto3,1.42.74
anta,1.8.0
mypy-boto3-kinesis-video-webrtc-storage,1.42.3
base32-crockford,0.3.0
nidaqmx,1.4.1
mypy-boto3-directconnect,1.42.3
pytest-loguru,0.4.0
mypy-boto3-sagemaker-featurestore-runtime,1.42.3
types-aiobotocore-groundstation,3.3.0
pygerrit2,2.0.15
graphene-django-optimizer,0.10.0
sagemaker-feature-store-pyspark-3-1,1.1.3
ndg-httpsclient,0.5.1
xmlschema,4.3.1
ansible-sign,0.1.5
docx2txt,0.9
types-aiobotocore-autoscaling-plans,3.3.0
valohai-yaml,0.55.0
edx-event-bus-redis,1.0.0
astpretty,3.0.0
mypy-boto3-compute-optimizer,1.42.3
webapp2,2.5.2
mypy-boto3-connect-contact-lens,1.42.3
apkutils2,1.0.0
patroni,4.1.0
types-aiobotocore-es,3.3.0
pymsalruntime,0.20.2
django-bootstrap3,26.1
passagemath-categories,10.8.2
batchgenerators,0.25.1
in-place,1.0.1
jsii,1.127.0
sphinx-jinja2-compat,0.4.1
sphinx-needs,8.0.0
pyvrl,0.0.2
skorch,1.3.1
azure-mgmt-network,30.2.0
types-aiobotocore-iotevents,3.3.0
vws-test-fixtures,2023.3.5
mypy-boto3-managedblockchain,1.42.3
vonage-sms,1.1.6
types-aiobotocore-mgh,3.3.0
pyu2f,0.1.5
pyrit,0.11.0
htmltools,0.6.0
streaming-form-data,2.0.0
mypy-boto3-workmail,1.42.3
tavern,3.2.0
htmldate,1.9.4
types-aiobotocore-ebs,3.3.0
deepl,1.28.0
pyop,3.4.2
mouse,0.7.1
mypy-boto3-ecr-public,1.42.3
types-python-slugify,8.0.2.20240310
vonage-voice,1.4.0
english-words,2.0.2
types-aiobotocore-license-manager-user-subscriptions,3.3.0
docx,0.2.4
telegramify-markdown,1.1.1
vonage-users,1.2.1
webrtcvad,2.0.10
mypy-boto3-kinesis-video-archived-media,1.42.3
parfive,2.3.1
cufile-python,0.2.0
acid-xblock,0.4.1
pgpy,0.6.0
types-aiobotocore-neptune,3.3.0
asgi-lifespan,2.1.0
soda-core-snowflake,3.5.6
mypy-boto3-neptune,1.42.57
mypy-boto3-marketplace-entitlement,1.42.58
cfnresponse,1.1.5
telnyx,4.83.0
fastdownload,0.0.7
cutlet,0.5.0
mypy-boto3-chime-sdk-messaging,1.42.3
mailbits,0.2.3
comp-leo,0.3.1
azure-ai-agents,1.1.0
yasoo,0.12.6
genai-prices,0.0.56
pydeps,3.0.2
pyinstaller,6.19.0
types-aiobotocore-lakeformation,3.3.0
mechanize,0.4.10
types-aiobotocore-iotdeviceadvisor,3.3.0
types-aiobotocore-migration-hub-refactor-spaces,3.3.0
datasieve,0.1.9
cairocffi,1.7.1
checkhash,1.0.1
dacktool,0.0.7
joblibspark,0.6.0
mypy-boto3-globalaccelerator,1.42.3
vonage-number-insight,1.0.7
django-summernote,0.8.20.0
azure-mgmt-hanaonazure,1.0.0
rq,2.7.0
petastorm,0.13.1
types-aiobotocore-lightsail,3.3.0
types-aiobotocore-rbin,3.3.0
pytest-plus,0.8.1
python-designateclient,6.4.0
class-doc,0.2.6
types-aiobotocore-dlm,3.3.0
yamlcore,0.0.4
mypy-boto3-budgets,1.42.33
llama-index-retrievers-bm25,0.7.1
pytest-custom-exit-code,0.3.0
tiered-debug,1.4.0
alibabacloud-tea-xml,0.0.3
pytype,2024.10.11
types-aiobotocore-budgets,3.3.0
unicorn,2.1.4
jsbeautifier,1.15.4
nr-stream,1.1.5
vonage-verify,2.1.0
sseclient-py,1.9.0
langchain-google-community,3.0.5
types-aiobotocore-greengrass,3.3.0
llama-index-vector-stores-milvus,1.1.0
vonage-network-sim-swap,1.1.2
mypy-boto3-datasync,1.42.67
django-cleanup,9.0.0
mypy-boto3-application-signals,1.42.3
globmatch,2.0.0
vonage-application,2.0.1
facebook-business,25.0.0
bindep,2.14.0
vonage-network-auth,1.0.2
azure-mgmt-machinelearningcompute,0.4.1
rclone-python,0.1.24
imagededup,0.3.3.post2
tts,0.22.0
geomet,1.1.0
types-aiobotocore-mediapackage-vod,3.3.0
databricks-openai,0.13.0
types-aiobotocore-macie2,3.3.0
